date,石門(mm),霞雲(mm),高義(mm),嘎拉賀(mm),玉峰(mm),鎮西堡(mm),巴陵(mm),石門水庫流量(cms),temperature
1982-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.45,6.73
1982-01-02,0.4,1.0,1.0,1.0,1.0,4.0,2.0,20.32,10.63
1982-01-03,1.8,0.0,1.0,1.0,1.0,1.0,0.0,16.38,11.73
1982-01-04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,15.79,8.53
1982-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,4.73
1982-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.87,8.73
1982-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.53,6.43
1982-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.17,5.63
1982-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.65,8.93
1982-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,10.53
1982-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83,11.53
1982-01-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.3,10.23
1982-01-13,7.0,10.0,10.0,11.0,8.0,9.0,14.0,10.66,7.73
1982-01-14,22.7,23.0,14.0,17.0,12.0,20.0,15.0,17.03,6.53
1982-01-15,0.4,0.0,0.0,2.0,0.0,1.0,1.0,15.79,6.33
1982-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.77,3.83
1982-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.54,4.63
1982-01-18,0.7,1.0,0.0,1.0,0.0,0.0,0.0,13.23,5.23
1982-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55,2.23
1982-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.97,6.03
1982-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,8.63
1982-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.19,10.53
1982-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09,11.23
1982-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.01,11.63
1982-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.16,8.73
1982-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,5.73
1982-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.48,4.53
1982-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.53
1982-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65,3.23
1982-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,6.63
1982-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.26,9.03
1982-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62,6.33
1982-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18,8.53
1982-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,10.53
1982-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.59,8.93
1982-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,7.13
1982-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,5.63
1982-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23,7.73
1982-02-08,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53
1982-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96,8.83
1982-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38,8.43
1982-02-11,1.6,0.0,0.0,0.0,0.0,0.0,0.0,8.25,6.33
1982-02-12,3.4,1.0,0.0,0.0,0.0,0.0,0.0,8.84,5.43
1982-02-13,27.6,34.0,38.0,40.0,44.0,42.0,36.0,12.39,7.03
1982-02-14,1.6,5.0,8.0,11.0,10.0,18.0,8.0,0.0,5.03
1982-02-15,7.2,6.0,2.0,4.0,2.0,6.0,3.0,15.12,4.93
1982-02-16,8.5,1.0,0.0,0.0,0.0,0.0,0.0,13.4,5.13
1982-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62,5.33
1982-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13,12.33
1982-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,12.93
1982-02-20,1.1,0.0,0.0,0.0,0.0,0.0,0.0,11.97,11.23
1982-02-21,2.2,0.0,0.0,0.0,0.0,0.0,0.0,11.11,8.33
1982-02-22,3.3,1.0,0.0,0.0,0.0,0.0,0.0,10.14,9.13
1982-02-23,33.9,22.0,9.0,3.0,5.0,4.0,3.0,8.84,10.53
1982-02-24,2.4,5.0,2.0,2.0,1.0,1.0,2.0,16.6,4.23
1982-02-25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.23
1982-02-26,22.8,14.0,11.0,10.0,12.0,14.0,13.0,9.57,6.83
