date,石門(mm),霞雲(mm),高義(mm),嘎拉賀(mm),玉峰(mm),鎮西堡(mm),巴陵(mm),石門水庫流量(cms),temperature (C),precipitation (cm),evapotranspiration (CMSD),season
1982-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.45,6.73,0.0,0.0962,1
1982-01-02,0.4,1.0,1.0,1.0,1.0,4.0,2.0,20.32,10.63,0.21716799999999997,0.117,1
1982-01-03,1.8,0.0,1.0,1.0,1.0,1.0,0.0,16.38,11.73,0.076466,0.671,1
1982-01-04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,15.79,8.53,0.0013080000000000001,0.507,1
1982-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,4.73,0.0,0.371,1
1982-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.87,8.73,0.0,0.459,1
1982-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.53,6.43,0.0,0.371,1
1982-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.17,5.63,0.0,0.333,1
1982-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.65,8.93,0.0,0.392,1
1982-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,10.53,0.0,0.406,1
1982-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83,11.53,0.0,0.403,1
1982-01-12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.3,10.23,0.018529999999999998,0.344,1
1982-01-13,7.0,10.0,10.0,11.0,8.0,9.0,14.0,10.66,7.73,0.9936599999999999,0.273,1
1982-01-14,22.7,23.0,14.0,17.0,12.0,20.0,15.0,17.03,6.53,1.8523690000000002,4.63,1
1982-01-15,0.4,0.0,0.0,2.0,0.0,1.0,1.0,15.79,6.33,0.084118,7.03,1
1982-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.77,3.83,0.0,5.96,1
1982-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.54,4.63,0.0,6.28,1
1982-01-18,0.7,1.0,0.0,1.0,0.0,0.0,0.0,13.23,5.23,0.037899,6.54,1
1982-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55,2.23,0.0,5.35,1
1982-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.97,6.03,0.0,6.89,1
1982-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,8.63,0.0,8.16,1
1982-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.19,10.53,0.0,9.21,1
1982-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09,11.23,0.0,9.63,1
1982-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.01,11.63,0.0,9.87,1
1982-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.16,8.73,0.0,8.21,1
1982-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,5.73,0.0,6.76,1
